iter	Passed	Remaining
0	49	425234
1	83	354293
2	114	323932
3	140	299638
4	166	282898
5	187	265937
6	204	248305
7	219	233520
8	231	219017
9	245	209023
10	260	201706
11	275	195181
12	290	189902
13	305	185426
14	320	181579
15	335	178054
16	349	174667
17	363	171748
18	377	169069
19	392	166806
20	408	165312
21	423	163584
22	438	162074
23	453	160677
24	469	159466
25	483	158011
26	498	156794
27	513	155578
28	529	155123
29	542	153484
30	557	152497
31	572	151863
32	587	151097
33	602	150402
34	617	149566
35	632	148981
36	645	147967
37	660	147334
38	675	146789
39	690	146369
40	704	145670
41	719	145203
42	735	144902
43	749	144319
44	764	143968
45	780	143693
46	794	143283
47	810	143015
48	823	142343
49	836	141636
50	848	140924
51	864	140700
52	879	140447
53	894	140209
54	908	139868
55	923	139570
56	937	139156
57	950	138714
58	965	138473
59	980	138171
60	995	137953
61	1008	137547
62	1022	137164
63	1037	137056
64	1052	136816
65	1068	136803
66	1088	137240
67	1107	137572
68	1130	138408
69	1152	139068
70	1176	140028
71	1201	140955
72	1228	142120
73	1250	142718
74	1273	143323
75	1298	144205
76	1322	144991
77	1343	145416
78	1363	145703
79	1382	145834
80	1401	145954
81	1423	146421
82	1445	146861
83	1461	146739
84	1478	146661
85	1496	146740
86	1514	146735
87	1534	147034
88	1551	146897
89	1567	146811
90	1588	147127
91	1609	147385
92	1625	147295
93	1645	147457
94	1664	147568
95	1682	147593
96	1702	147844
97	1723	148084
98	1743	148239
99	1762	148398
100	1784	148706
101	1802	148743
102	1823	148999
103	1842	149067
104	1858	148903
105	1874	148770
106	1891	148697
107	1907	148501
108	1923	148361
109	1940	148359
110	1961	148543
111	1979	148557
112	2001	148862
113	2023	149139
114	2041	149180
115	2061	149352
116	2083	149582
117	2104	149800
118	2121	149765
119	2141	149856
120	2162	150098
121	2187	150567
122	2209	150802
123	2227	150771
124	2243	150629
125	2257	150327
126	2273	150202
127	2292	150245
128	2309	150209
129	2326	150101
130	2341	149905
131	2356	149701
132	2370	149454
133	2384	149192
134	2400	149060
135	2415	148872
136	2430	148665
137	2443	148368
138	2458	148171
139	2473	147997
140	2488	147831
141	2503	147660
142	2518	147485
143	2533	147315
144	2548	147148
145	2561	146905
146	2576	146708
147	2591	146551
148	2606	146385
149	2621	146219
150	2635	146049
151	2650	145867
152	2663	145629
153	2677	145425
154	2693	145313
155	2710	145297
156	2728	145318
157	2747	145387
158	2764	145359
159	2778	145155
160	2794	145065
161	2810	144965
162	2825	144825
163	2840	144716
164	2856	144588
165	2868	144328
166	2883	144172
167	2898	144073
168	2914	143968
169	2930	143898
170	2945	143794
171	2962	143737
172	2975	143540
173	2990	143392
174	3005	143266
175	3020	143185
176	3037	143139
177	3052	143025
178	3067	142926
179	3081	142755
180	3095	142600
181	3109	142443
182	3122	142228
183	3137	142126
184	3154	142083
185	3169	141990
186	3185	141898
187	3200	141803
188	3214	141665
189	3230	141592
190	3246	141524
191	3261	141436
192	3275	141281
193	3290	141174
194	3304	141030
195	3320	140992
196	3335	140905
197	3351	140829
198	3368	140801
199	3384	140758
200	3400	140694
201	3415	140609
202	3430	140518
203	3445	140426
204	3461	140353
205	3475	140251
206	3490	140123
207	3505	140040
208	3519	139937
209	3534	139848
210	3551	139808
211	3567	139780
212	3580	139595
213	3605	139915
214	3622	139909
215	3638	139858
216	3654	139805
217	3670	139755
218	3684	139613
219	3699	139535
220	3709	139277
221	3726	139263
222	3741	139189
223	3757	139115
224	3772	139034
225	3787	138964
226	3802	138896
227	3817	138794
228	3832	138722
229	3847	138630
230	3862	138549
231	3877	138476
232	3892	138403
233	3906	138311
234	3921	138214
235	3937	138164
236	3953	138131
237	3969	138085
238	3984	138008
239	3997	137897
240	4011	137789
241	4027	137738
242	4044	137720
243	4060	137685
244	4076	137636
